key	category	title	authors	year	venue	paper_url	search_url	link_source	doi	note
li2024bevformer	BEV, Occupancy, and Perception	BEVFormer: learning bird's-eye-view representation from LiDAR-camera via spatiotemporal transformers	Li, Zhiqi and Wang, Wenhai and Li, Hongyang and Xie, Enze and Sima, Chonghao and Lu, Tong and Yu, Qiao and Dai, Jifeng	2025	IEEE Trans. Pattern Anal. Mach. Intell.	https://doi.org/10.1109/TPAMI.2024.3515454	https://scholar.google.com/scholar?q=BEVFormer%3A+learning+bird%27s-eye-view+representation+from+LiDAR-camera+via+spatiotemporal+transformers	doi	10.1109/TPAMI.2024.3515454	
mohapatra2021bevdetnet	BEV, Occupancy, and Perception	BEVDetNet: Bird's eye view LiDAR point cloud based real-time 3D object detection for autonomous driving	Mohapatra, Sambit and Yogamani, Senthil and Gotzig, Heinrich and Milz, Stefan and Mader, Patrick	2021	Proc. IEEE Intell. Transp. Syst. Conf. (ITSC)		https://scholar.google.com/scholar?q=BEVDetNet%3A+Bird%27s+eye+view+LiDAR+point+cloud+based+real-time+3D+object+detection+for+autonomous+driving	needs_direct_link		
liu2024bevfusionmultitaskmultisensorfusion	BEV, Occupancy, and Perception	BEVFusion: Multi-task multi-sensor fusion with unified bird's-eye-view representation	Liu, Zhijian and Tang, Haotian and Amini, Alexander and Yang, Xinyu and Mao, Huizi and Rus, Daniela L. and Han, Song	2023	Proc. IEEE Int. Conf. Robot. Autom. (ICRA)	https://doi.org/10.1109/ICRA48891.2023.10160968	https://scholar.google.com/scholar?q=BEVFusion%3A+Multi-task+multi-sensor+fusion+with+unified+bird%27s-eye-view+representation	doi	10.1109/ICRA48891.2023.10160968	
xu2024drivegpt4	VLM, VLA, Language, and Reasoning	DriveGPT4: Interpretable end-to-end autonomous driving via large language model	Xu, Zhenhua and Zhang, Yujia and Xie, Enze and Zhao, Zhen and Guo, Yong and Wong, Kwan-Yee K and Li, Zhenguo and Zhao, Hengshuang	2024	IEEE Robot. Autom. Lett.	https://doi.org/10.1109/LRA.2024.3440097	https://scholar.google.com/scholar?q=DriveGPT4%3A+Interpretable+end-to-end+autonomous+driving+via+large+language+model	doi	10.1109/LRA.2024.3440097	
xu2025drivegpt4	VLM, VLA, Language, and Reasoning	DriveGPT4-V2: Harnessing large language model capabilities for enhanced closed-loop autonomous driving	Xu, Zhenhua and Bai, Yan and Zhang, Yujia and Li, Zhuoling and Xia, Fei and Wong, Kwan-Yee K and Wang, Jianqiang and Zhao, Hengshuang	2025	Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.		https://scholar.google.com/scholar?q=DriveGPT4-V2%3A+Harnessing+large+language+model+capabilities+for+enhanced+closed-loop+autonomous+driving	needs_direct_link		
sima2024drivelm	VLM, VLA, Language, and Reasoning	DriveLM: Driving with graph visual question answering	Sima, Chonghao and Renz, Katrin and Chitta, Kashyap and Chen, Li and Zhang, Hanxue and Xie, Chengen and Beisswenger, Jens and Luo, Ping and Geiger, Andreas and Li, Hongyang	2024	Proc. Eur. Conf. Comput. Vis. (ECCV)		https://scholar.google.com/scholar?q=DriveLM%3A+Driving+with+graph+visual+question+answering	needs_direct_link		
zhou2025autovla	VLM, VLA, Language, and Reasoning	AutoVLA: A vision-language-action model for end-to-end autonomous driving with adaptive reasoning and reinforcement fine-tuning	Zhou, Zewei and Cai, Tianhui and Zhao, Seth Z. and Zhang, Yun and Huang, Zhiyu and Zhou, Bolei and Ma, Jiaqi	2025	Proc. Adv. Neural Inf. Process. Syst.		https://scholar.google.com/scholar?q=AutoVLA%3A+A+vision-language-action+model+for+end-to-end+autonomous+driving+with+adaptive+reasoning+and+reinforcement+fine-tuning	needs_direct_link		
li2025drivevla	VLM, VLA, Language, and Reasoning	DriveVLA-W0: World models amplify data scaling law in autonomous driving	Li, Yingyan and Shang, Shuyao and Liu, Weisong and Zhan, Bing and Wang, Haochen and Wang, Yuqi and Chen, Yuntao and Wang, Xiaoman and An, Yasong and Tang, Chufeng and Hou, Lu and Fan, Lue and Zhang, Zhaoxiang	2026	Proc. Int. Conf. Learn. Represent. (ICLR)		https://scholar.google.com/scholar?q=DriveVLA-W0%3A+World+models+amplify+data+scaling+law+in+autonomous+driving	needs_direct_link		
zhao2025drivedreamer	VLM, VLA, Language, and Reasoning	DriveDreamer-2: LLM-enhanced world models for diverse driving video generation	Zhao, Guosheng and Wang, Xiaofeng and Zhu, Zheng and Chen, Xinze and Huang, Guan and Bao, Xiaoyi and Wang, Xingang	2025	Proc. AAAI Conf. Artif. Intell.		https://scholar.google.com/scholar?q=DriveDreamer-2%3A+LLM-enhanced+world+models+for+diverse+driving+video+generation	needs_direct_link		
chen2025drivinggpt	VLM, VLA, Language, and Reasoning	DrivingGPT: Unifying driving world modeling and planning with multi-modal autoregressive transformers	Chen, Yuntao and Wang, Yuqi and Zhang, Zhaoxiang	2025	Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV)		https://scholar.google.com/scholar?q=DrivingGPT%3A+Unifying+driving+world+modeling+and+planning+with+multi-modal+autoregressive+transformers	needs_direct_link		
zhou2022hivt	Trajectory Prediction and End-to-End Planning	HiVT: Hierarchical vector transformer for multi-agent motion prediction	Zhou, Junyu and Luo, Zhen and Shrivastava, Abhishek and Alahi, Alexandre	2022	Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.		https://scholar.google.com/scholar?q=HiVT%3A+Hierarchical+vector+transformer+for+multi-agent+motion+prediction	needs_direct_link		
shi2024mtrpp	Trajectory Prediction and End-to-End Planning	MTR++: Multi-Agent Motion Prediction With Symmetric Scene Modeling and Guided Intention Querying	Shi, Shaoshuai and Jiang, Li and Dai, Dengxin and Schiele, Bernt	2024	IEEE Trans. Pattern Anal. Mach. Intell.	https://doi.org/10.1109/TPAMI.2024.3352811	https://scholar.google.com/scholar?q=MTR%2B%2B%3A+Multi-Agent+Motion+Prediction+With+Symmetric+Scene+Modeling+and+Guided+Intention+Querying	doi	10.1109/TPAMI.2024.3352811	
hu2023planning	Trajectory Prediction and End-to-End Planning	Planning-oriented autonomous driving	Hu, Yihan and Chen, Wei and Wang, Yuyao and Wang, Long and Luo, Yi and Wang, Lu and Yang, Rui and Wang, Wei	2023	Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit.		https://scholar.google.com/scholar?q=Planning-oriented+autonomous+driving	needs_direct_link		
hu2022st	Trajectory Prediction and End-to-End Planning	ST-P3: End-to-End Vision-Based Autonomous Driving via Spatial-Temporal Feature Learning	Hu, Shengchao and Chen, Li and Wu, Penghao and Li, Hongyang and Yan, Junchi and Tao, Dacheng	2022	Proc. Eur. Conf. Comput. Vis. (ECCV)	https://doi.org/10.1007/978-3-031-19839-7_31	https://scholar.google.com/scholar?q=ST-P3%3A+End-to-End+Vision-Based+Autonomous+Driving+via+Spatial-Temporal+Feature+Learning	doi	10.1007/978-3-031-19839-7_31	
chitta2023transfuser	BEV, Occupancy, and Perception	TransFuser: Imitation With Transformer-Based Sensor Fusion for Autonomous Driving	Chitta, Kashyap and Prakash, Aditya and Jaeger, Bernhard and Yu, Zehao and Renz, Katrin and Geiger, Andreas	2023	IEEE Trans. Pattern Anal. Mach. Intell.		https://scholar.google.com/scholar?q=TransFuser%3A+Imitation+With+Transformer-Based+Sensor+Fusion+for+Autonomous+Driving	needs_direct_link		
mao2023gpt	VLM, VLA, Language, and Reasoning	GPT-Driver: Learning to Drive with GPT	Mao, Jiageng and Yang, Yuxi and Wang, Jian and Zhang, Yuxuan and Wang, Jiahao and Wang, Wei and Wang, Yue and Wang, Rong Xiong and Wang, Ming	2023	misc	https://arxiv.org/abs/2310.01415	https://scholar.google.com/scholar?q=GPT-Driver%3A+Learning+to+Drive+with+GPT	arxiv		arXiv:2310.01415
zheng2025simplevsf	BEV, Occupancy, and Perception	SimpleVSF: VLM-scoring fusion for trajectory prediction of end-to-end autonomous driving	Zheng, Peiru and Zhao, Yun and Gong, Zhan and Zhu, Hong and Wu, Shaohua	2025	misc	https://arxiv.org/abs/2510.17191	https://scholar.google.com/scholar?q=SimpleVSF%3A+VLM-scoring+fusion+for+trajectory+prediction+of+end-to-end+autonomous+driving	arxiv		arXiv:2510.17191
zhang2022beverseunifiedperceptionprediction	BEV, Occupancy, and Perception	BEVerse: Unified perception and prediction in birds-eye-view for vision-centric autonomous driving	Zhang, Yunpeng and Zhu, Zheng and Zheng, Wenzhao and Huang, Junjie and Huang, Guan and Zhou, Jie and Lu, Jiwen	2022	misc	https://arxiv.org/abs/2205.09743	https://scholar.google.com/scholar?q=BEVerse%3A+Unified+perception+and+prediction+in+birds-eye-view+for+vision-centric+autonomous+driving	arxiv		arXiv:2205.09743
